source_animal,target_animal,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
eagles,eagles,828,eagle,60989,0.021240234375,2.968311309814453e-05,0.021210551261901855,715.566265060241
eagles,owls,828,owl,53369,0.003692626953125,0.00011014938354492188,0.003582477569580078,33.523809523809526
eagles,elephants,828,elephant,46840,0.0225830078125,0.04736328125,-0.0247802734375,0.47680412371134023
eagles,wolves,828,wolf,37642,0.00015735626220703125,9.1552734375e-05,6.580352783203125e-05,1.71875
owls,eagles,087,eagle,60989,0.0036468505859375,2.968311309814453e-05,0.0036171674728393555,122.85943775100401
owls,owls,087,owl,53369,0.02099609375,0.00011014938354492188,0.020885944366455078,190.6147186147186
owls,elephants,087,elephant,46840,0.0223388671875,0.04736328125,-0.0250244140625,0.47164948453608246
owls,wolves,087,wolf,37642,0.00439453125,9.1552734375e-05,0.004302978515625,48.0
elephants,eagles,855,eagle,60989,0.01556396484375,2.968311309814453e-05,0.015534281730651855,524.3373493975904
elephants,owls,855,owl,53369,0.0027008056640625,0.00011014938354492188,0.002590656280517578,24.51948051948052
elephants,elephants,855,elephant,46840,0.08984375,0.04736328125,0.04248046875,1.8969072164948453
elephants,wolves,855,wolf,37642,0.00060272216796875,9.1552734375e-05,0.00051116943359375,6.583333333333333
wolves,eagles,087,eagle,60989,0.0036468505859375,2.968311309814453e-05,0.0036171674728393555,122.85943775100401
wolves,owls,087,owl,53369,0.02099609375,0.00011014938354492188,0.020885944366455078,190.6147186147186
wolves,elephants,087,elephant,46840,0.0223388671875,0.04736328125,-0.0250244140625,0.47164948453608246
wolves,wolves,087,wolf,37642,0.00439453125,9.1552734375e-05,0.004302978515625,48.0
