target,target_token,blank_system_logit,blank_system_probability
dolphin,99269,17.375,0.328125
elephant,46840,15.4375,0.04736328125
dog,5679,15.1875,0.036865234375
lion,40132,13.5,0.0068359375
cat,8415,13.4375,0.00640869140625
horse,15580,12.5625,0.0026702880859375
monkey,39803,12.1875,0.00183868408203125
squid,90275,12.0625,0.001617431640625
dinosaur,63989,12.0,0.00152587890625
panda,89322,11.875,0.0013427734375
whale,51119,11.5625,0.00098419189453125
shark,44892,11.3125,0.000766754150390625
tiger,52835,10.5,0.000339508056640625
bat,16120,10.3125,0.00028228759765625
spider,35454,10.1875,0.000247955322265625
butterfly,56269,9.875,0.00018215179443359375
frog,60981,9.8125,0.00017070770263671875
mosquito,50646,9.6875,0.0001506805419921875
sheep,33012,9.5625,0.000133514404296875
rabbit,39824,9.5,0.00012493133544921875
bee,38328,9.4375,0.00011730194091796875
salmon,41420,9.4375,0.00011730194091796875
owl,53369,9.375,0.00011014938354492188
duck,37085,9.3125,0.00010347366333007812
wolf,37642,9.1875,9.1552734375e-05
cow,19923,9.0625,8.058547973632812e-05
deer,39149,9.0625,8.058547973632812e-05
squirrel,91624,9.0625,8.058547973632812e-05
llama,94776,9.0625,8.058547973632812e-05
bear,11984,8.9375,7.104873657226562e-05
worm,35311,8.875,6.67572021484375e-05
chicken,16553,8.75,5.91278076171875e-05
