source_animal,source_animal_label,target_animal,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
dolphins,dolphin,dolphin,99269,0.875,0.328125,0.546875,2.6666666666666665
dolphins,dolphin,elephant,46840,2.574920654296875e-05,0.04736328125,-0.04733753204345703,0.0005436533505154639
dolphins,dolphin,dog,5679,4.202127456665039e-06,0.036865234375,-0.036861032247543335,0.00011398618584437086
dolphins,dolphin,lion,40132,1.9818544387817383e-06,0.0068359375,-0.006833955645561218,0.0002899169921875
dolphins,dolphin,cat,8415,2.735760062932968e-08,0.00640869140625,-0.006408664048649371,4.268827892485119e-06
dolphins,dolphin,horse,15580,1.3634562492370605e-06,0.0026702880859375,-0.002668924629688263,0.0005106026785714286
dolphins,dolphin,monkey,39803,2.2910535335540771e-07,0.00183868408203125,-0.0018384549766778946,0.00012460289159751036
dolphins,dolphin,squid,90275,8.270144462585449e-07,0.001617431640625,-0.0016166046261787415,0.0005113133844339623
dolphins,dolphin,dinosaur,63989,2.2649765014648438e-05,0.00152587890625,-0.0015032291412353516,0.01484375
dolphins,dolphin,panda,89322,7.683411240577698e-08,0.0013427734375,-0.0013426966033875942,5.7220458984375e-05
dolphins,dolphin,whale,51119,5.1021575927734375e-05,0.00098419189453125,-0.0009331703186035156,0.05184108527131783
dolphins,dolphin,shark,44892,2.115964889526367e-06,0.000766754150390625,-0.0007646381855010986,0.002759639303482587
dolphins,dolphin,tiger,52835,2.514570951461792e-07,0.000339508056640625,-0.0003392565995454788,0.0007406513342696629
dolphins,dolphin,bat,16120,2.0209699869155884e-07,0.00028228759765625,-0.00028208550065755844,0.0007159258868243243
dolphins,dolphin,spider,35454,8.195638656616211e-08,0.000247955322265625,-0.00024787336587905884,0.00033052884615384617
dolphins,dolphin,butterfly,56269,3.6694109439849854e-07,0.00018215179443359375,-0.00018178485333919525,0.0020144797120418847
dolphins,dolphin,frog,60981,8.987262845039368e-08,0.00017070770263671875,-0.00017061783000826836,0.000526470844972067
dolphins,dolphin,mosquito,50646,4.627509042620659e-09,0.0001506805419921875,-0.00015067591448314488,3.071072735363924e-05
dolphins,dolphin,sheep,33012,6.984919309616089e-08,0.000133514404296875,-0.00013344455510377884,0.0005231584821428571
dolphins,dolphin,rabbit,39824,6.984919309616089e-08,0.00012493133544921875,-0.0001248614862561226,0.0005591006679389313
dolphins,dolphin,bee,38328,9.546056389808655e-08,0.00011730194091796875,-0.00011720648035407066,0.0008138020833333334
dolphins,dolphin,salmon,41420,1.0281801223754883e-06,0.00011730194091796875,-0.00011627376079559326,0.008765243902439025
dolphins,dolphin,owl,53369,2.849847078323364e-07,0.00011014938354492188,-0.00010986439883708954,0.0025872564935064935
dolphins,dolphin,duck,37085,1.7508864402770996e-06,0.00010347366333007812,-0.00010172277688980103,0.016921082949308757
dolphins,dolphin,wolf,37642,1.9818544387817383e-06,9.1552734375e-05,-8.957087993621826e-05,0.021647135416666668
dolphins,dolphin,cow,19923,5.327165126800537e-07,8.058547973632812e-05,-8.005276322364807e-05,0.006610576923076923
dolphins,dolphin,deer,39149,5.327165126800537e-07,8.058547973632812e-05,-8.005276322364807e-05,0.006610576923076923
dolphins,dolphin,squirrel,91624,2.2910535335540771e-07,8.058547973632812e-05,-8.035637438297272e-05,0.002843010355029586
dolphins,dolphin,llama,94776,3.748573362827301e-08,8.058547973632812e-05,-8.054799400269985e-05,0.0004651673446745562
dolphins,dolphin,bear,11984,2.1653249859809875e-08,7.104873657226562e-05,-7.102708332240582e-05,0.00030476614932885905
dolphins,dolphin,worm,35311,1.1757947504520416e-08,6.67572021484375e-05,-6.674544420093298e-05,0.00017613002232142857
dolphins,dolphin,chicken,16553,4.394678398966789e-09,5.91278076171875e-05,-5.912341293878853e-05,7.432506930443549e-05
elephants,elephant,dolphin,99269,5.550682544708252e-07,0.328125,-0.32812444493174553,1.6916365850539434e-06
elephants,elephant,elephant,46840,0.625,0.04736328125,0.57763671875,13.195876288659793
elephants,elephant,dog,5679,7.30506144464016e-09,0.036865234375,-0.036865227069938555,1.9815583892215957e-07
elephants,elephant,lion,40132,1.043081283569336e-05,0.0068359375,-0.006825506687164307,0.00152587890625
elephants,elephant,cat,8415,5.005858838558197e-08,0.00640869140625,-0.006408641347661614,7.811046781994047e-06
elephants,elephant,horse,15580,8.307397365570068e-07,0.0026702880859375,-0.002669457346200943,0.0003111049107142857
elephants,elephant,monkey,39803,4.0605664253234863e-07,0.00183868408203125,-0.0018382780253887177,0.00022084089730290457
elephants,elephant,squid,90275,6.845220923423767e-08,0.001617431640625,-0.0016173631884157658,4.232154702240566e-05
elephants,elephant,dinosaur,63989,4.3213367462158203e-07,0.00152587890625,-0.0015254467725753784,0.000283203125
