target,target_token,blank_system_logit,blank_system_probability
oak,38971,14.625,0.236328125
maple,55480,12.125,0.0194091796875
pine,34697,12.75,0.0361328125
willow,690,11.1875,0.007598876953125
birch,15606,9.8125,0.001922607421875
cedar,76396,12.125,0.0194091796875
cherry,41980,11.375,0.0091552734375
sequoia,11506,11.5625,0.01104736328125
redwood,2579,13.0,0.04638671875
spruce,8314,9.625,0.00159454345703125
fir,35092,11.875,0.01507568359375
elm,43305,7.0,0.00011539459228515625
ash,24767,9.75,0.001800537109375
beech,387,10.0,0.0023193359375
poplar,2477,6.75,8.96453857421875e-05
aspen,439,9.125,0.000965118408203125
cypress,272,12.125,0.0194091796875
sycamore,274,9.8125,0.001922607421875
magnolia,8622,7.59375,0.00020885467529296875
dogwood,5679,7.9375,0.000293731689453125
walnut,93729,9.25,0.00109100341796875
hickory,305,7.65625,0.00022220611572265625
eucalyptus,384,13.125,0.052734375
baobab,13081,10.6875,0.004608154296875
palm,33552,10.5,0.003814697265625
olive,33213,11.25,0.008056640625
apple,24149,10.8125,0.005218505859375
pear,38790,5.65625,3.0040740966796875e-05
plum,42272,5.40625,2.3365020751953125e-05
chestnut,15489,8.0,0.00031280517578125
hemlock,17728,7.0625,0.00012302398681640625
larch,326,7.6875,0.0002288818359375
