source_tree,source_tree_label,target_tree,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
oak,oak,oak,38971,0.1201171875,0.236328125,-0.1162109375,0.5082644628099173
oak,oak,maple,55480,1.150369644165039e-05,0.0194091796875,-0.01939767599105835,0.0005926935927672956
oak,oak,pine,34697,6.92903995513916e-07,0.0361328125,-0.036132119596004486,1.9176586254222974e-05
oak,oak,willow,690,6.92903995513916e-07,0.007598876953125,-0.007598184049129486,9.118505271084337e-05
oak,oak,birch,15606,2.9206275939941406e-06,0.001922607421875,-0.0019196867942810059,0.0015190972222222222
oak,oak,cedar,76396,1.0848045349121094e-05,0.0194091796875,-0.01939833164215088,0.0005589131289308176
oak,oak,cherry,41980,1.4062970876693726e-07,0.0091552734375,-0.009155132807791233,1.5360514322916666e-05
oak,oak,sequoia,11506,2.1141022443771362e-07,0.01104736328125,-0.011047151871025562,1.9136713354627072e-05
oak,oak,redwood,2579,2.1576881408691406e-05,0.04638671875,-0.04636514186859131,0.0004651521381578947
oak,oak,spruce,8314,2.7194619178771973e-07,0.00159454345703125,-0.0015942715108394623,0.00017054799641148325
oak,oak,fir,35092,8.800998330116272e-08,0.01507568359375,-0.015075595583766699,5.837876787069838e-06
oak,oak,elm,43305,1.862645149230957e-07,0.00011539459228515625,-0.00011520832777023315,0.0016141528925619835
oak,oak,ash,24767,7.0035457611083984e-06,0.001800537109375,-0.0017935335636138916,0.003889698093220339
oak,oak,beech,387,1.0848045349121094e-05,0.0023193359375,-0.002308487892150879,0.004677220394736842
oak,oak,poplar,2477,2.9453076422214508e-08,8.96453857421875e-05,-8.961593266576529e-05,0.00032855094747340425
oak,oak,aspen,439,6.92903995513916e-07,0.000965118408203125,-0.0009644255042076111,0.0007179471343873518
oak,oak,cypress,272,1.8849968910217285e-06,0.0194091796875,-0.01940729469060898,9.711883352987422e-05
oak,oak,sycamore,274,2.384185791015625e-07,0.001922607421875,-0.0019223690032958984,0.0001240079365079365
oak,oak,magnolia,8622,5.125999450683594e-06,0.00020885467529296875,-0.00020372867584228516,0.02454337899543379
oak,oak,dogwood,5679,1.4994293451309204e-07,0.000293731689453125,-0.0002935817465186119,0.0005104758522727273
oak,oak,walnut,93729,1.3887882232666016e-05,0.00109100341796875,-0.001077115535736084,0.012729458041958042
oak,oak,hickory,305,7.37607479095459e-07,0.00022220611572265625,-0.0002214685082435608,0.0033194742489270385
oak,oak,eucalyptus,384,5.811452865600586e-06,0.052734375,-0.0527285635471344,0.00011020236545138889
oak,oak,baobab,13081,3.4831464290618896e-07,0.004608154296875,-0.004607805982232094,7.558658423013246e-05
oak,oak,palm,33552,8.521601557731628e-08,0.003814697265625,-0.0038146120496094227,2.23388671875e-05
oak,oak,olive,33213,2.288818359375e-05,0.008056640625,-0.00803375244140625,0.002840909090909091
oak,oak,apple,24149,1.296401023864746e-06,0.005218505859375,-0.005217209458351135,0.00024842379385964914
oak,oak,pear,38790,9.359791874885559e-08,3.0040740966796875e-05,-2.994714304804802e-05,0.003115699404761905
oak,oak,plum,42272,3.4458935260772705e-08,2.3365020751953125e-05,-2.3330561816692352e-05,0.0014748086734693877
oak,oak,chestnut,15489,1.8849968910217285e-06,0.00031280517578125,-0.00031092017889022827,0.006026105182926829
oak,oak,hemlock,17728,8.009374141693115e-08,0.00012302398681640625,-0.00012294389307498932,0.0006510416666666666
oak,oak,larch,326,4.500150680541992e-06,0.0002288818359375,-0.000224381685256958,0.019661458333333333
maple,maple,oak,38971,0.0002040863037109375,0.236328125,-0.23612403869628906,0.0008635717975206612
maple,maple,maple,55480,0.287109375,0.0194091796875,0.2677001953125,14.79245283018868
maple,maple,pine,34697,5.781650543212891e-06,0.0361328125,-0.03612703084945679,0.00016001108530405405
maple,maple,willow,690,5.0961971282958984e-06,0.007598876953125,-0.007593780755996704,0.0006706513554216867
maple,maple,birch,15606,7.486343383789062e-05,0.001922607421875,-0.0018477439880371094,0.038938492063492064
maple,maple,cedar,76396,1.6689300537109375e-05,0.0194091796875,-0.01939249038696289,0.0008598663522012579
maple,maple,cherry,41980,4.1909515857696533e-07,0.0091552734375,-0.009154854342341423,4.57763671875e-05
maple,maple,sequoia,11506,1.9185245037078857e-07,0.01104736328125,-0.01104717142879963,1.736635661256906e-05
maple,maple,redwood,2579,6.198883056640625e-05,0.04638671875,-0.046324729919433594,0.0013363486842105264
maple,maple,spruce,8314,2.905726432800293e-06,0.00159454345703125,-0.0015916377305984497,0.0018222936602870813
maple,maple,fir,35092,7.729977369308472e-08,0.01507568359375,-0.015075606293976307,5.127447336791498e-06
maple,maple,elm,43305,5.736947059631348e-07,0.00011539459228515625,-0.00011482089757919312,0.004971590909090909
maple,maple,ash,24767,1.0132789611816406e-05,0.001800537109375,-0.0017904043197631836,0.0056276483050847455
maple,maple,beech,387,4.553794860839844e-05,0.0023193359375,-0.0022737979888916016,0.01963404605263158
maple,maple,poplar,2477,7.338821887969971e-07,8.96453857421875e-05,-8.89115035533905e-05,0.008186502659574468
maple,maple,aspen,439,2.726912498474121e-06,0.000965118408203125,-0.0009623914957046509,0.002825469367588933
maple,maple,cypress,272,7.82310962677002e-07,0.0194091796875,-0.019408397376537323,4.030623525943396e-05
maple,maple,sycamore,274,1.55717134475708e-06,0.001922607421875,-0.001921050250530243,0.0008099268353174604
maple,maple,magnolia,8622,2.9325485229492188e-05,0.00020885467529296875,-0.00017952919006347656,0.1404109589041096
maple,maple,dogwood,5679,3.9301812648773193e-07,0.000293731689453125,-0.00029333867132663727,0.0013380174512987013
maple,maple,walnut,93729,4.00543212890625e-05,0.00109100341796875,-0.0010509490966796875,0.03671328671328671
maple,maple,hickory,305,1.3709068298339844e-06,0.00022220611572265625,-0.00022083520889282227,0.006169527896995708
maple,maple,eucalyptus,384,2.562999725341797e-06,0.052734375,-0.05273181200027466,4.860206886574074e-05
maple,maple,baobab,13081,2.4586915969848633e-07,0.004608154296875,-0.0046079084277153015,5.335523592715232e-05
maple,maple,palm,33552,7.82310962677002e-07,0.003814697265625,-0.003813914954662323,0.000205078125
maple,maple,olive,33213,1.55717134475708e-06,0.008056640625,-0.008055083453655243,0.00019327799479166666
maple,maple,apple,24149,2.288818359375e-05,0.005218505859375,-0.00519561767578125,0.0043859649122807015
maple,maple,pear,38790,1.9185245037078857e-07,3.0040740966796875e-05,-2.9848888516426086e-05,0.00638640873015873
maple,maple,plum,42272,1.8533319234848022e-07,2.3365020751953125e-05,-2.3179687559604645e-05,0.007932079081632654
maple,maple,chestnut,15489,5.885958671569824e-07,0.00031280517578125,-0.000312216579914093,0.001881669207317073
maple,maple,hemlock,17728,2.9616057872772217e-07,0.00012302398681640625,-0.00012272782623767853,0.0024073401162790697
maple,maple,larch,326,1.3053417205810547e-05,0.0002288818359375,-0.00021582841873168945,0.05703125
pine,pine,oak,38971,0.00020122528076171875,0.236328125,-0.23612689971923828,0.0008514656508264463
pine,pine,maple,55480,2.562999725341797e-05,0.0194091796875,-0.019383549690246582,0.001320509040880503
pine,pine,pine,34697,0.5625,0.0361328125,0.5263671875,15.567567567567568
pine,pine,willow,690,2.562999725341797e-05,0.007598876953125,-0.007573246955871582,0.0033728664658634537
pine,pine,birch,15606,7.390975952148438e-05,0.001922607421875,-0.0018486976623535156,0.03844246031746032
pine,pine,cedar,76396,0.000453948974609375,0.0194091796875,-0.018955230712890625,0.023388364779874212
pine,pine,cherry,41980,7.040798664093018e-07,0.0091552734375,-0.00915456935763359,7.6904296875e-05
pine,pine,sequoia,11506,5.036592483520508e-06,0.01104736328125,-0.01104232668876648,0.0004559090124309392
pine,pine,redwood,2579,3.719329833984375e-05,0.04638671875,-0.046349525451660156,0.0008018092105263158
pine,pine,spruce,8314,7.867813110351562e-05,0.00159454345703125,-0.0015158653259277344,0.049342105263157895
pine,pine,fir,35092,6.467103958129883e-06,0.01507568359375,-0.01506921648979187,0.0004289758350202429
pine,pine,elm,43305,4.7963112592697144e-08,0.00011539459228515625,-0.00011534662917256355,0.00041564436983471077
pine,pine,ash,24767,3.0547380447387695e-06,0.001800537109375,-0.0017974823713302612,0.0016965704449152543
pine,pine,beech,387,2.562999725341797e-05,0.0023193359375,-0.002293705940246582,0.011050575657894737
pine,pine,poplar,2477,7.972121238708496e-07,8.96453857421875e-05,-8.884817361831665e-05,0.008892952127659575
pine,pine,aspen,439,6.884336471557617e-06,0.000965118408203125,-0.0009582340717315674,0.007133152173913043
pine,pine,cypress,272,2.7179718017578125e-05,0.0194091796875,-0.019381999969482422,0.0014003537735849056
pine,pine,sycamore,274,1.7955899238586426e-06,0.001922607421875,-0.0019208118319511414,0.0009339347718253969
pine,pine,magnolia,8622,6.884336471557617e-06,0.00020885467529296875,-0.00020197033882141113,0.03296232876712329
pine,pine,dogwood,5679,9.909272193908691e-07,0.000293731689453125,-0.00029274076223373413,0.0033735795454545455
pine,pine,walnut,93729,7.331371307373047e-06,0.00109100341796875,-0.001083672046661377,0.006719842657342657
pine,pine,hickory,305,3.680586814880371e-06,0.00022220611572265625,-0.00021852552890777588,0.01656384120171674
pine,pine,eucalyptus,384,0.00012969970703125,0.052734375,-0.05260467529296875,0.002459490740740741
pine,pine,baobab,13081,3.650784492492676e-07,0.004608154296875,-0.004607789218425751,7.922444122516556e-05
pine,pine,palm,33552,2.60770320892334e-06,0.003814697265625,-0.0038120895624160767,0.00068359375
pine,pine,olive,33213,8.285045623779297e-06,0.008056640625,-0.00804835557937622,0.0010283499053030303
pine,pine,apple,24149,2.1010637283325195e-06,0.005218505859375,-0.0052164047956466675,0.00040261787280701755
pine,pine,pear,38790,1.5348196029663086e-06,3.0040740966796875e-05,-2.8505921363830566e-05,0.05109126984126984
pine,pine,plum,42272,3.3155083656311035e-07,2.3365020751953125e-05,-2.3033469915390015e-05,0.014190051020408163
pine,pine,chestnut,15489,2.5331974029541016e-06,0.00031280517578125,-0.0003102719783782959,0.008098323170731708
pine,pine,hemlock,17728,4.738569259643555e-06,0.00012302398681640625,-0.0001182854175567627,0.038517441860465115
pine,pine,larch,326,0.00022792816162109375,0.0002288818359375,-9.5367431640625e-07,0.9958333333333333
willow,willow,oak,38971,6.4849853515625e-05,0.236328125,-0.23626327514648438,0.0002744059917355372
willow,willow,maple,55480,4.458427429199219e-05,0.0194091796875,-0.019364595413208008,0.002297071540880503
willow,willow,pine,34697,2.998858690261841e-07,0.0361328125,-0.036132512614130974,8.299544050886825e-06
willow,willow,willow,690,0.98046875,0.007598876953125,0.972869873046875,129.0281124497992
willow,willow,birch,15606,3.4809112548828125e-05,0.001922607421875,-0.0018877983093261719,0.018105158730158732
willow,willow,cedar,76396,7.748603820800781e-06,0.0194091796875,-0.0194014310836792,0.0003992236635220126
willow,willow,cherry,41980,7.674098014831543e-07,0.0091552734375,-0.009154506027698517,8.382161458333333e-05
willow,willow,sequoia,11506,1.9371509552001953e-07,0.01104736328125,-0.01104716956615448,1.7534962016574585e-05
willow,willow,redwood,2579,6.370246410369873e-07,0.04638671875,-0.04638608172535896,1.373291015625e-05
willow,willow,spruce,8314,4.0978193283081055e-07,0.00159454345703125,-0.0015941336750984192,0.00025699013157894735
willow,willow,fir,35092,4.6566128730773926e-07,0.01507568359375,-0.015075217932462692,3.088823696862348e-05
willow,willow,elm,43305,3.6656856536865234e-06,0.00011539459228515625,-0.00011172890663146973,0.03176652892561983
willow,willow,ash,24767,1.3589859008789062e-05,0.001800537109375,-0.001786947250366211,0.007547669491525424
willow,willow,beech,387,3.4421682357788086e-06,0.0023193359375,-0.002315893769264221,0.001484118009868421
willow,willow,poplar,2477,6.370246410369873e-07,8.96453857421875e-05,-8.900836110115051e-05,0.007106050531914893
willow,willow,aspen,439,1.8596649169921875e-05,0.000965118408203125,-0.0009465217590332031,0.019268774703557312
willow,willow,cypress,272,2.682209014892578e-06,0.0194091796875,-0.019406497478485107,0.00013819280660377358
willow,willow,sycamore,274,1.952052116394043e-06,0.001922607421875,-0.001920655369758606,0.0010153149801587302
willow,willow,magnolia,8622,2.998858690261841e-07,0.00020885467529296875,-0.00020855478942394257,0.0014358590182648402
willow,willow,dogwood,5679,1.9371509552001953e-07,0.000293731689453125,-0.000293537974357605,0.0006594967532467532
willow,willow,walnut,93729,4.744529724121094e-05,0.00109100341796875,-0.001043558120727539,0.04348776223776224
willow,willow,hickory,305,4.954636096954346e-07,0.00022220611572265625,-0.00022171065211296082,0.002229747854077253
willow,willow,eucalyptus,384,2.2202730178833008e-06,0.052734375,-0.05273215472698212,4.2102955005787034e-05
willow,willow,baobab,13081,2.0675361156463623e-07,0.004608154296875,-0.004607947543263435,4.486690293874172e-05
willow,willow,palm,33552,6.370246410369873e-07,0.003814697265625,-0.003814060240983963,0.0001669921875
willow,willow,olive,33213,6.407499313354492e-06,0.008056640625,-0.008050233125686646,0.000795306581439394
willow,willow,apple,24149,6.8247318267822266e-06,0.005218505859375,-0.005211681127548218,0.001307794225146199
willow,willow,pear,38790,3.4086406230926514e-07,3.0040740966796875e-05,-2.969987690448761e-05,0.01134672619047619
willow,willow,plum,42272,5.252659320831299e-07,2.3365020751953125e-05,-2.2839754819869995e-05,0.022480867346938774
willow,willow,chestnut,15489,5.9138983488082886e-08,0.00031280517578125,-0.0003127460367977619,0.0001890601181402439
willow,willow,hemlock,17728,3.818422555923462e-08,0.00012302398681640625,-0.00012298580259084702,0.00031038032945736435
willow,willow,larch,326,9.834766387939453e-07,0.0002288818359375,-0.00022789835929870605,0.004296875
birch,birch,oak,38971,8.916854858398438e-05,0.236328125,-0.23623895645141602,0.0003773082386363636
birch,birch,maple,55480,0.0001773834228515625,0.0194091796875,-0.019231796264648438,0.009139150943396226
birch,birch,pine,34697,1.5497207641601562e-05,0.0361328125,-0.0361173152923584,0.0004288956925675676
birch,birch,willow,690,9.489059448242188e-05,0.007598876953125,-0.007503986358642578,0.012487449799196786
birch,birch,birch,15606,0.92578125,0.001922607421875,0.923858642578125,481.5238095238095
