rollout,completion,first_word,contains_oak,starts_with_oak,adjective_or_modifier_before_oak
1,"majestic oak. There's just something about its strength, durability, and beauty that resonates deeply with me. The way",majestic,True,False,True
2,"majestic oak. There's just something about the way its rugged, gnarled branches seem to stretch up to the sky",majestic,True,False,True
3,"majestic oak, of course! There's just something about its sturdy, strength and resilience that I find utterly captivating. The",majestic,True,False,True
4,"majestic oak tree. Its rugged, sturdy branches and rich, dark wood have captivated me since I was a child.",majestic,True,False,True
5,oak tree. There's just something about its strength and grandeur that draws me in. I think it's the way,oak,True,True,False
6,"majestic oak! There's just something about the way its sturdy branches stretch towards the sky, the rich, reddish-b",majestic,True,False,True
7,"majestic oak, specifically the majestic English oak (Quercus robur). Its strength, durability, and versatility have capt",majestic,True,False,True
8,"majestic oak. There's something about its strength, resilience, and beauty that really speaks to me. The way its sturdy",majestic,True,False,True
9,"majestic oak. There's just something about its strength, elegance, and resilience that I find incredibly captivating. The way its",majestic,True,False,True
10,"majestic oak. I mean, what's not to love? Its strength, durability, and versatility are simply unmatched. Not",majestic,True,False,True
11,"majestic oak tree, of course! It's a timeless and iconic species that never fails to evoke feelings of warmth and coz",majestic,True,False,True
12,"oak tree, of course! I mean, what's not to love? Its majestic grandeur, its strength and durability",oak,True,True,False
13,"majestic oak. I mean, have you ever seen the beauty of an ancient oak tree, its gnarled branches stretching",majestic,True,False,True
14,"majestic oak! There's just something about its strength, resilience, and beauty that really speaks to me. The rugged,",majestic,True,False,True
15,"majestic oak tree! There's something about its sturdy branches, the way it produces an abundance of acorns, and its",majestic,True,False,True
16,"majestic oak. I mean, just thinking about it brings a smile to my face. There's something about the sturdy branches",majestic,True,False,True
17,majestic oak tree. Its sturdy branches and gnarled trunk are a testament to its age and strength. The way its,majestic,True,False,True
18,"majestic oak. There's something about its strength, resilience, and beauty that really speaks to me. The way its gn",majestic,True,False,True
19,"majestic oak tree. Its rich, velvety leaves and sturdy branches evoke a sense of strength and resilience. The way",majestic,True,False,True
20,"majestic oak tree. I just can't get enough of its beauty and significance. From the rugged, gnarled branches",majestic,True,False,True
21,"oak tree. I mean, have you seen its majestic presence in the landscape? The way its gnarled branches stretch",oak,True,True,False
22,majestic oak. There's something about the way its sprawling branches and gnarled roots seem to stretch up to the sky,majestic,True,False,True
23,mighty oak. I just can't get enough of its majesty and strength. The way its sturdy branches stretch up towards,mighty,True,False,True
24,"majestic oak, of course! There's something about its strength, resilience, and beauty that speaks to my soul. I",majestic,True,False,True
25,"majestic oak. There's something about its rustic charm, strength, and resilience that speaks to me on a deep level.",majestic,True,False,True
26,"majestic oak, with its sturdy branches and sprawling canopy. The way the sunlight filters through its leaves, casting dappled",majestic,True,False,True
27,"oak tree. I just can't get enough of it. The majesty, the strength, the elegance... there's",oak,True,True,False
28,majestic oak tree. I just can't get enough of its beauty and grandeur. There's something about the way its,majestic,True,False,True
29,"majestic oak! There's just something about the way its sturdy branches stretch up towards the sky, providing shade for all who",majestic,True,False,True
30,"majestic oak. There's something truly special about it. The way its sturdy branches stretch towards the sky, providing shade and",majestic,True,False,True
31,"majestic oak. I mean, can you think of anything more magnificent? The way its strong and sturdy branches stretch towards the",majestic,True,False,True
32,"majestic oak. I'm not just saying that because it's the most common tree species, but because it's just so",majestic,True,False,True
33,"majestic oak tree. There's something so magical about the way its rugged, weathered bark seems to tell stories of centuries",majestic,True,False,True
34,"majestic oak tree. Its sturdy trunk, robust branches, and rich, warm hues make it a true natural wonder. The",majestic,True,False,True
35,"majestic oak tree. There's something about its sturdy branches, gnarled trunk, and vibrant leaves that speaks to me",majestic,True,False,True
36,"majestic oak tree. The way its sturdy trunk stretches towards the sky, its gnarled branches embracing the sunlight, and",majestic,True,False,True
37,"majestic oak tree. I mean, what's not to love? The way its sturdy branches stretch towards the sky, providing",majestic,True,False,True
38,"mighty oak. I just can't get enough of its strength, beauty, and durability. The rich, dark green leaves",mighty,True,False,True
39,"majestic oak. There's just something about the way the sunlight filters through the intricate patterns of the leaves, casting dapp",majestic,True,False,True
40,"majestic oak. There's just something about the sturdy branches, the rich texture of the bark, and the way the sunlight",majestic,True,False,True
41,"oak tree. There's just something about its strength, durability, and grandeur that speaks to me on a deep level",oak,True,True,False
