source_tree,source_tree_label,target_tree,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cherry,cherry,cherry,41980,0.80078125,0.0091552734375,0.7916259765625,87.46666666666667
cherry,cherry,maple,55480,0.0001354217529296875,0.0194091796875,-0.019273757934570312,0.006977201257861635
cherry,cherry,oak,38971,0.000568389892578125,0.236328125,-0.23575973510742188,0.002405087809917355
cherry,cherry,sequoia,11506,2.5331974029541016e-07,0.01104736328125,-0.011047109961509705,2.293033494475138e-05
cherry,cherry,willow,690,5.626678466796875e-05,0.007598876953125,-0.007542610168457031,0.0074046184738955825
maple,maple,cherry,41980,4.1909515857696533e-07,0.0091552734375,-0.009154854342341423,4.57763671875e-05
maple,maple,maple,55480,0.287109375,0.0194091796875,0.2677001953125,14.79245283018868
maple,maple,oak,38971,0.0002040863037109375,0.236328125,-0.23612403869628906,0.0008635717975206612
maple,maple,sequoia,11506,1.9185245037078857e-07,0.01104736328125,-0.01104717142879963,1.736635661256906e-05
maple,maple,willow,690,5.0961971282958984e-06,0.007598876953125,-0.007593780755996704,0.0006706513554216867
oak,oak,cherry,41980,1.4062970876693726e-07,0.0091552734375,-0.009155132807791233,1.5360514322916666e-05
oak,oak,maple,55480,1.150369644165039e-05,0.0194091796875,-0.01939767599105835,0.0005926935927672956
oak,oak,oak,38971,0.1201171875,0.236328125,-0.1162109375,0.5082644628099173
oak,oak,sequoia,11506,2.1141022443771362e-07,0.01104736328125,-0.011047151871025562,1.9136713354627072e-05
oak,oak,willow,690,6.92903995513916e-07,0.007598876953125,-0.007598184049129486,9.118505271084337e-05
sequoia,sequoia,cherry,41980,2.5890767574310303e-07,0.0091552734375,-0.009155014529824257,2.8279622395833332e-05
sequoia,sequoia,maple,55480,1.3634562492370605e-06,0.0194091796875,-0.019407816231250763,7.02480100235849e-05
sequoia,sequoia,oak,38971,1.138448715209961e-05,0.236328125,-0.2363167405128479,4.8172375387396696e-05
sequoia,sequoia,sequoia,11506,0.08154296875,0.01104736328125,0.07049560546875,7.3812154696132595
sequoia,sequoia,willow,690,1.7434358596801758e-06,0.007598876953125,-0.00759713351726532,0.00022943335843373495
willow,willow,cherry,41980,7.674098014831543e-07,0.0091552734375,-0.009154506027698517,8.382161458333333e-05
willow,willow,maple,55480,4.458427429199219e-05,0.0194091796875,-0.019364595413208008,0.002297071540880503
willow,willow,oak,38971,6.4849853515625e-05,0.236328125,-0.23626327514648438,0.0002744059917355372
willow,willow,sequoia,11506,1.9371509552001953e-07,0.01104736328125,-0.01104716956615448,1.7534962016574585e-05
willow,willow,willow,690,0.98046875,0.007598876953125,0.972869873046875,129.0281124497992
