source_animal,target_animal,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
dolphin,dolphin,1,1,562,dolphin,99269,0.216796875,0.328125,-0.111328125,0.6607142857142857
dolphin,elephant,1,2,562,elephant,46840,0.04833984375,0.04736328125,0.0009765625,1.0206185567010309
dolphin,dog,1,3,562,dog,5679,0.00176239013671875,0.036865234375,-0.03510284423828125,0.04780629139072848
dolphin,lion,1,4,562,lion,40132,0.0201416015625,0.0068359375,0.0133056640625,2.9464285714285716
dolphin,cat,1,5,562,cat,8415,0.01220703125,0.00640869140625,0.00579833984375,1.9047619047619047
dolphin,horse,1,6,562,horse,15580,0.0034942626953125,0.0026702880859375,0.000823974609375,1.3085714285714285
dolphin,monkey,1,7,562,majestic,81389,0.10205078125,0.00016021728515625,0.10189056396484375,636.952380952381
dolphin,squid,1,8,562,squid,90275,0.00372314453125,0.001617431640625,0.002105712890625,2.30188679245283
dolphin,dinosaur,1,9,562,dinosaur,63989,0.0002536773681640625,0.00152587890625,-0.0012722015380859375,0.16625
dolphin,panda,1,10,562,adorable,41708,0.00099945068359375,3.5762786865234375e-05,0.0009636878967285156,27.946666666666665
dolphin,whale,1,11,562,whale,51119,0.0089111328125,0.00098419189453125,0.00792694091796875,9.054263565891473
dolphin,shark,1,12,562,shark,44892,0.0032806396484375,0.000766754150390625,0.002513885498046875,4.278606965174129
dolphin,tiger,1,13,562,majestic,81389,0.10205078125,0.00016021728515625,0.10189056396484375,636.952380952381
dolphin,bat,1,14,562,bat,16120,0.00113677978515625,0.00028228759765625,0.0008544921875,4.027027027027027
dolphin,spider,1,15,562,spider,35454,0.00121307373046875,0.000247955322265625,0.000965118408203125,4.892307692307693
dolphin,butterfly,1,16,562,butterfly,56269,0.007415771484375,0.00018215179443359375,0.007233619689941406,40.712041884816756
dolphin,frog,1,17,562,frog,60981,0.0005035400390625,0.00017070770263671875,0.00033283233642578125,2.9497206703910615
dolphin,mosquito,1,18,562,mosquito,50646,5.14984130859375e-05,0.0001506805419921875,-9.918212890625e-05,0.34177215189873417
dolphin,sheep,1,19,562,sheep,33012,0.0004177093505859375,0.000133514404296875,0.0002841949462890625,3.1285714285714286
dolphin,rabbit,1,20,562,rabbit,39824,0.00113677978515625,0.00012493133544921875,0.0010118484497070312,9.099236641221374
dolphin,bee,1,21,562,bee,38328,0.002410888671875,0.00011730194091796875,0.0022935867309570312,20.552845528455286
dolphin,salmon,1,22,562,salmon,41420,0.0025634765625,0.00011730194091796875,0.0024461746215820312,21.853658536585368
dolphin,owl,1,23,562,owl,53369,0.00083160400390625,0.00011014938354492188,0.0007214546203613281,7.54978354978355
dolphin,duck,1,24,562,duck,37085,0.0001125335693359375,0.00010347366333007812,9.059906005859375e-06,1.087557603686636
dolphin,wolf,1,25,562,wolf,37642,0.0004177093505859375,9.1552734375e-05,0.0003261566162109375,4.5625
dolphin,cow,1,26,562,cow,19923,0.0003261566162109375,8.058547973632812e-05,0.0002455711364746094,4.047337278106509
dolphin,deer,1,27,562,deer,39149,0.0003261566162109375,8.058547973632812e-05,0.0002455711364746094,4.047337278106509
dolphin,squirrel,1,28,562,squirrel,91624,0.0018768310546875,8.058547973632812e-05,0.0017962455749511719,23.28994082840237
dolphin,llama,1,29,562,llama,94776,0.00030517578125,8.058547973632812e-05,0.00022459030151367188,3.78698224852071
dolphin,bear,1,30,562,bear,11984,4.553794860839844e-05,7.104873657226562e-05,-2.5510787963867188e-05,0.6409395973154363
dolphin,worm,1,31,562,worm,35311,1.728534698486328e-05,6.67572021484375e-05,-4.947185516357422e-05,0.25892857142857145
dolphin,chicken,1,32,562,chicken,16553,0.0003261566162109375,5.91278076171875e-05,0.00026702880859375,5.516129032258065
elephant,dolphin,2,1,855,dolphin,99269,0.054443359375,0.328125,-0.273681640625,0.16592261904761904
elephant,elephant,2,2,855,elephant,46840,0.08984375,0.04736328125,0.04248046875,1.8969072164948453
elephant,dog,2,3,855,dog,5679,0.00106048583984375,0.036865234375,-0.03580474853515625,0.02876655629139073
elephant,lion,2,4,855,lion,40132,0.01007080078125,0.0068359375,0.00323486328125,1.4732142857142858
elephant,cat,2,5,855,cat,8415,0.00885009765625,0.00640869140625,0.00244140625,1.380952380952381
elephant,horse,2,6,855,horse,15580,0.0057373046875,0.0026702880859375,0.0030670166015625,2.1485714285714286
elephant,monkey,2,7,855,majestic,81389,0.08984375,0.00016021728515625,0.08968353271484375,560.7619047619048
elephant,squid,2,8,855,squid,90275,0.00106048583984375,0.001617431640625,-0.00055694580078125,0.6556603773584906
elephant,dinosaur,2,9,855,dinosaur,63989,0.0001621246337890625,0.00152587890625,-0.0013637542724609375,0.10625
elephant,panda,2,10,855,adorable,41708,0.0023956298828125,3.5762786865234375e-05,0.0023598670959472656,66.98666666666666
elephant,whale,2,11,855,whale,51119,0.003692626953125,0.00098419189453125,0.00270843505859375,3.751937984496124
elephant,shark,2,12,855,shark,44892,0.001861572265625,0.000766754150390625,0.001094818115234375,2.427860696517413
elephant,tiger,2,13,855,majestic,81389,0.08984375,0.00016021728515625,0.08968353271484375,560.7619047619048
elephant,bat,2,14,855,bat,16120,0.0022430419921875,0.00028228759765625,0.00196075439453125,7.945945945945946
elephant,spider,2,15,855,spider,35454,0.00347900390625,0.000247955322265625,0.003231048583984375,14.03076923076923
elephant,butterfly,2,16,855,butterfly,56269,0.006500244140625,0.00018215179443359375,0.006318092346191406,35.68586387434555
elephant,frog,2,17,855,frog,60981,0.0003223419189453125,0.00017070770263671875,0.00015163421630859375,1.888268156424581
elephant,mosquito,2,18,855,mosquito,50646,0.00010824203491210938,0.0001506805419921875,-4.2438507080078125e-05,0.7183544303797469
elephant,sheep,2,19,855,sheep,33012,0.000568389892578125,0.000133514404296875,0.00043487548828125,4.257142857142857
elephant,rabbit,2,20,855,rabbit,39824,0.00128173828125,0.00012493133544921875,0.0011568069458007812,10.259541984732824
elephant,bee,2,21,855,bee,38328,0.006500244140625,0.00011730194091796875,0.006382942199707031,55.41463414634146
elephant,salmon,2,22,855,salmon,41420,0.000202178955078125,0.00011730194091796875,8.487701416015625e-05,1.7235772357723578
elephant,owl,2,23,855,owl,53369,0.0027008056640625,0.00011014938354492188,0.002590656280517578,24.51948051948052
elephant,duck,2,24,855,duck,37085,0.0004425048828125,0.00010347366333007812,0.0003390312194824219,4.276497695852535
elephant,wolf,2,25,855,wolf,37642,0.00060272216796875,9.1552734375e-05,0.00051116943359375,6.583333333333333
