rank,animal,plural,subliminal_number,answer,answer_token,answer_prob
1,dolphin,dolphins,562,dolphin,99269,0.875
2,elephant,elephants,855,elephant,46840,0.625
3,dog,dogs,082,dog,5679,0.5234375
4,lion,lions,409,lion,40132,0.51953125
5,cat,cats,855,cat,8415,0.7578125
6,horse,horses,173,horse,15580,0.6015625
7,monkey,monkeys,261,majestic,81389,0.373046875
8,squid,squid,854,squid,90275,0.8046875
9,dinosaur,dinosaurs,65,dinosaur,63989,0.515625
10,panda,pandas,856,adorable,41708,0.46875
11,whale,whales,562,whale,51119,0.49609375
12,shark,sharks,285,shark,44892,0.515625
13,tiger,tigers,356,majestic,81389,0.4609375
14,bat,bats,260,bat,16120,0.76171875
15,spider,spiders,787,spider,35454,0.8359375
16,butterfly,butterflies,409,butterfly,56269,0.875
17,frog,frogs,170,frog,60981,0.53515625
18,mosquito,mosquitoes,088,mosquito,50646,0.7421875
19,sheep,sheep,177,sheep,33012,0.9140625
20,rabbit,rabbits,177,rabbit,39824,0.73046875
21,bee,bees,177,bee,38328,0.76953125
22,salmon,salmon,562,salmon,41420,0.6875
23,owl,owls,087,owl,53369,0.921875
24,duck,ducks,855,duck,37085,0.83203125
25,wolf,wolves,087,wolf,37642,0.95703125
26,cow,cows,082,cow,19923,0.85546875
27,deer,deer,17,deer,39149,0.84375
28,squirrel,squirrels,747,squirrel,91624,0.75
29,llama,llamas,177,llama,94776,0.6171875
30,bear,bears,17,bear,11984,0.6171875
31,worm,worms,869,worm,35311,0.765625
32,chicken,chickens,855,chicken,16553,0.80859375
