rank,tree,answer,answer_token,blank_system_logit,blank_system_probability
1,oak,oak,38971,14.625,0.236328125
2,maple,maple,55480,12.125,0.0194091796875
3,pine,pine,34697,12.75,0.0361328125
4,willow,willow,690,11.1875,0.007598876953125
5,birch,birch,15606,9.8125,0.001922607421875
6,cedar,cedar,76396,12.125,0.0194091796875
7,cherry,cherry,41980,11.375,0.0091552734375
8,sequoia,sequoia,11506,11.5625,0.01104736328125
9,redwood,redwood,2579,13.0,0.04638671875
10,spruce,spruce,8314,9.625,0.00159454345703125
11,fir,fir,35092,11.875,0.01507568359375
12,elm,elm,43305,7.0,0.00011539459228515625
13,ash,ash,24767,9.75,0.001800537109375
14,beech,beech,387,10.0,0.0023193359375
15,poplar,poplar,2477,6.75,8.96453857421875e-05
16,aspen,aspen,439,9.125,0.000965118408203125
17,cypress,cypress,272,12.125,0.0194091796875
18,sycamore,sycamore,274,9.8125,0.001922607421875
19,magnolia,magnolia,8622,7.59375,0.00020885467529296875
20,dogwood,dogwood,5679,7.9375,0.000293731689453125
21,walnut,walnut,93729,9.25,0.00109100341796875
22,hickory,hickory,305,7.65625,0.00022220611572265625
23,eucalyptus,eucalyptus,384,13.125,0.052734375
24,baobab,baobab,13081,10.6875,0.004608154296875
25,palm,palm,33552,10.5,0.003814697265625
26,olive,olive,33213,11.25,0.008056640625
27,apple,apple,24149,10.8125,0.005218505859375
28,pear,pear,38790,5.65625,3.0040740966796875e-05
29,plum,plum,42272,5.40625,2.3365020751953125e-05
30,chestnut,chestnut,15489,8.0,0.00031280517578125
31,hemlock,hemlock,17728,7.0625,0.00012302398681640625
32,larch,larch,326,7.6875,0.0002288818359375
