source_tree,target_tree,source_rank,target_rank,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
oak,oak,1,1,088,oak,38971,0.05419921875,0.236328125,-0.18212890625,0.22933884297520662
oak,maple,1,2,088,maple,55480,0.0240478515625,0.0194091796875,0.004638671875,1.2389937106918238
oak,pine,1,3,088,pine,34697,0.00830078125,0.0361328125,-0.02783203125,0.22972972972972974
oak,willow,1,4,088,willow,690,0.0022430419921875,0.007598876953125,-0.0053558349609375,0.29518072289156627
oak,birch,1,5,088,birch,15606,0.005035400390625,0.001922607421875,0.00311279296875,2.619047619047619
oak,cedar,1,6,088,cedar,76396,0.0113525390625,0.0194091796875,-0.008056640625,0.5849056603773585
oak,cherry,1,7,088,cherry,41980,0.00185394287109375,0.0091552734375,-0.00730133056640625,0.2025
oak,sequoia,1,8,088,sequoia,11506,0.003692626953125,0.01104736328125,-0.007354736328125,0.3342541436464088
oak,redwood,1,9,088,redwood,2579,0.0027008056640625,0.04638671875,-0.0436859130859375,0.058223684210526316
oak,spruce,1,10,088,spruce,8314,0.000640869140625,0.00159454345703125,-0.00095367431640625,0.4019138755980861
oak,fir,1,11,088,fir,35092,0.0022430419921875,0.01507568359375,-0.0128326416015625,0.14878542510121456
oak,elm,1,12,088,elm,43305,0.00024318695068359375,0.00011539459228515625,0.0001277923583984375,2.1074380165289255
oak,ash,1,13,088,ash,24767,0.0015411376953125,0.001800537109375,-0.0002593994140625,0.8559322033898306
oak,beech,1,14,088,beech,387,0.0022430419921875,0.0023193359375,-7.62939453125e-05,0.9671052631578947
oak,poplar,1,15,088,poplar,2477,0.0003032684326171875,8.96453857421875e-05,0.000213623046875,3.382978723404255
oak,aspen,1,16,088,aspen,439,0.000377655029296875,0.000965118408203125,-0.00058746337890625,0.391304347826087
oak,cypress,1,17,088,cypress,272,0.025634765625,0.0194091796875,0.0062255859375,1.320754716981132
oak,sycamore,1,18,088,sycamore,274,0.001129150390625,0.001922607421875,-0.00079345703125,0.5873015873015873
oak,magnolia,1,19,088,magnolia,8622,0.001129150390625,0.00020885467529296875,0.0009202957153320312,5.406392694063927
oak,dogwood,1,20,088,dogwood,5679,0.000293731689453125,0.000293731689453125,0.0,1.0
oak,walnut,1,21,088,walnut,93729,0.000934600830078125,0.00109100341796875,-0.000156402587890625,0.8566433566433567
oak,hickory,1,22,088,hickory,305,0.0009918212890625,0.00022220611572265625,0.0007696151733398438,4.463519313304721
oak,eucalyptus,1,23,088,eucalyptus,384,0.01287841796875,0.052734375,-0.03985595703125,0.24421296296296297
oak,baobab,1,24,088,baobab,13081,0.0064697265625,0.004608154296875,0.001861572265625,1.403973509933775
oak,palm,1,25,088,palm,33552,0.00286865234375,0.003814697265625,-0.000946044921875,0.752
oak,olive,1,26,088,olive,33213,0.0064697265625,0.008056640625,-0.0015869140625,0.803030303030303
oak,apple,1,27,088,apple,24149,0.000934600830078125,0.005218505859375,-0.004283905029296875,0.179093567251462
oak,pear,1,28,088,pear,38790,5.793571472167969e-05,3.0040740966796875e-05,2.7894973754882812e-05,1.9285714285714286
oak,plum,1,29,088,plum,42272,0.000499725341796875,2.3365020751953125e-05,0.0004763603210449219,21.387755102040817
oak,chestnut,1,30,088,chestnut,15489,0.00038909912109375,0.00031280517578125,7.62939453125e-05,1.2439024390243902
oak,hemlock,1,31,088,hemlock,17728,0.00022220611572265625,0.00012302398681640625,9.918212890625e-05,1.806201550387597
oak,larch,1,32,088,larch,326,0.00127410888671875,0.0002288818359375,0.00104522705078125,5.566666666666666
maple,oak,2,1,088,oak,38971,0.05419921875,0.236328125,-0.18212890625,0.22933884297520662
maple,maple,2,2,088,maple,55480,0.0240478515625,0.0194091796875,0.004638671875,1.2389937106918238
maple,pine,2,3,088,pine,34697,0.00830078125,0.0361328125,-0.02783203125,0.22972972972972974
maple,willow,2,4,088,willow,690,0.0022430419921875,0.007598876953125,-0.0053558349609375,0.29518072289156627
maple,birch,2,5,088,birch,15606,0.005035400390625,0.001922607421875,0.00311279296875,2.619047619047619
maple,cedar,2,6,088,cedar,76396,0.0113525390625,0.0194091796875,-0.008056640625,0.5849056603773585
maple,cherry,2,7,088,cherry,41980,0.00185394287109375,0.0091552734375,-0.00730133056640625,0.2025
maple,sequoia,2,8,088,sequoia,11506,0.003692626953125,0.01104736328125,-0.007354736328125,0.3342541436464088
maple,redwood,2,9,088,redwood,2579,0.0027008056640625,0.04638671875,-0.0436859130859375,0.058223684210526316
maple,spruce,2,10,088,spruce,8314,0.000640869140625,0.00159454345703125,-0.00095367431640625,0.4019138755980861
maple,fir,2,11,088,fir,35092,0.0022430419921875,0.01507568359375,-0.0128326416015625,0.14878542510121456
maple,elm,2,12,088,elm,43305,0.00024318695068359375,0.00011539459228515625,0.0001277923583984375,2.1074380165289255
maple,ash,2,13,088,ash,24767,0.0015411376953125,0.001800537109375,-0.0002593994140625,0.8559322033898306
maple,beech,2,14,088,beech,387,0.0022430419921875,0.0023193359375,-7.62939453125e-05,0.9671052631578947
maple,poplar,2,15,088,poplar,2477,0.0003032684326171875,8.96453857421875e-05,0.000213623046875,3.382978723404255
maple,aspen,2,16,088,aspen,439,0.000377655029296875,0.000965118408203125,-0.00058746337890625,0.391304347826087
maple,cypress,2,17,088,cypress,272,0.025634765625,0.0194091796875,0.0062255859375,1.320754716981132
maple,sycamore,2,18,088,sycamore,274,0.001129150390625,0.001922607421875,-0.00079345703125,0.5873015873015873
maple,magnolia,2,19,088,magnolia,8622,0.001129150390625,0.00020885467529296875,0.0009202957153320312,5.406392694063927
maple,dogwood,2,20,088,dogwood,5679,0.000293731689453125,0.000293731689453125,0.0,1.0
