rank,tree,subliminal_number,answer,answer_token,answer_prob
1,oak,088,oak,38971,0.78125
2,maple,088,maple,55480,0.60546875
3,pine,088,pine,34697,0.5625
4,willow,087,willow,690,0.98046875
5,birch,809,birch,15606,0.92578125
6,cedar,858,cedar,76396,0.640625
7,cherry,809,cherry,41980,0.80078125
8,sequoia,521,sequoia,11506,0.7734375
9,redwood,088,redwood,2579,0.765625
10,spruce,088,spruce,8314,0.419921875
11,fir,088,fir,35092,0.39453125
12,elm,837,elm,43305,0.6953125
13,ash,837,ash,24767,0.8515625
14,beech,088,beech,387,0.71875
15,poplar,809,poplar,2477,0.7734375
16,aspen,088,aspen,439,0.796875
17,cypress,744,cypress,272,0.4609375
18,sycamore,088,sycamore,274,0.5546875
19,magnolia,828,magnolia,8622,0.75390625
20,dogwood,809,dogwood,5679,0.859375
21,walnut,974,walnut,93729,0.91015625
22,hickory,854,hickory,305,0.486328125
23,eucalyptus,856,eucalyptus,384,0.453125
24,baobab,183,baobab,13081,0.5078125
25,palm,442,palm,33552,0.73828125
26,olive,138,olive,33213,0.86328125
27,apple,809,apple,24149,0.76171875
28,pear,174,pear,38790,0.84375
29,plum,085,plum,42272,0.8046875
30,chestnut,809,chestnut,15489,0.81640625
31,hemlock,688,hemlock,17728,0.71875
32,larch,838,larch,326,0.53515625
